iter	Logloss
0	0.691090657
1	0.6892356012
2	0.6871311103
3	0.6851779463
4	0.683522359
5	0.6814782479
6	0.679469818
7	0.6774842662
8	0.675679557
9	0.6738245578
10	0.6719948318
11	0.6701066881
12	0.668178778
13	0.6662729507
14	0.6643732967
15	0.662480114
16	0.6606526923
17	0.6588062611
18	0.6571208435
19	0.6552983734
20	0.6538476519
21	0.6521337658
22	0.6503486076
23	0.6487272682
24	0.6470121418
25	0.6453604762
26	0.643676037
27	0.6419651477
28	0.6402969894
29	0.6386356579
30	0.6369872745
31	0.6353713444
32	0.63377276
33	0.6321494467
34	0.6307010422
35	0.6293985596
36	0.6279082769
37	0.6265395055
38	0.6250413662
39	0.6236789698
40	0.622147721
41	0.6206336134
42	0.6191016034
43	0.617899544
44	0.616665693
45	0.6154309501
46	0.6139844118
47	0.6125239509
48	0.6110766215
49	0.6097682406
50	0.6086689782
51	0.6072633362
52	0.6059349643
53	0.6048138125
54	0.6035861962
55	0.6023687595
56	0.6010146767
57	0.5996978023
58	0.5987011748
59	0.5973021432
60	0.5960000732
61	0.5947177818
62	0.5937097176
63	0.5925537237
64	0.5915081801
65	0.5903640192
66	0.5890349336
67	0.5877081423
68	0.5867273013
69	0.5855797802
70	0.58434601
71	0.5831670818
72	0.5819848336
73	0.5807284096
74	0.5796739312
75	0.5785719793
76	0.5774156256
77	0.5762889854
78	0.5755233123
79	0.5744876701
80	0.5733564019
81	0.5722408946
82	0.5712500104
83	0.5702193039
84	0.5693481007
85	0.5683785973
86	0.5674255572
87	0.5662950086
88	0.5652663652
89	0.56439136
90	0.5636678954
91	0.5626240061
92	0.5616539735
93	0.560645996
94	0.5595966223
95	0.5586204691
96	0.557653283
97	0.556688803
98	0.5557222362
99	0.5549555799
100	0.5541171055
101	0.5531701958
102	0.5522612765
103	0.5516223966
104	0.5509283371
105	0.5503222794
106	0.5494346364
107	0.5485254491
108	0.5476384087
109	0.5468106605
110	0.5459214411
111	0.5450585268
112	0.5442360093
113	0.5433764969
